"actor_id","actor_bio","actor_chName","actor_foreName","actor_nationality","actor_constellation","actor_birthPlace","actor_birthDay","actor_repWorks","actor_achiem","actor_brokerage"
"11","孟广美（1967年8月17日-），台籍主持人、模特儿，祖籍安徽。1995年进入模特儿圈。1997年，被英国导演格森纳威选中拍摄经典反华电影《红色角落》。1999年，孟广美被美国某时尚杂志推选为最具""世纪Look""的20个国际模特之一。2008年，其在好莱坞电影《神鬼传奇3》中饰演反派冷艳女1号，是早年首位成功登上好莱坞大银幕之台湾女艺人。2009年，孟广美回归凤凰卫视开始主持《锵锵三人行》；同年，其参演了电视剧《婚姻保卫战》。2010年，孟广美出演了张纪中版《西游记》中的蜘蛛精一角；10月，孟广美与北京世贸天阶房地产公司董事长吉增和结婚。2012年，孟广美参演了其婚后的首部电视剧作品《胜女的时代》。2013年，孟广美亮相原创情感脱口秀节目《盛女大作战》，首当明星导师。编辑摘要","孟广美","Jessey Meng","中国","None","台湾","None","最熟悉的陌生人》 《女人行","None","明路文化传媒"
"12","李乃文， 1974年10月18日出生于宁夏回族自治区，中国大陆男演员，1993年毕业于中央戏剧学院，北京拾捌文化经纪有限公司签约艺人。2003年 出演吕小品执导的情景喜剧《好市多多》。 2004年，在唐大年执导的电视剧《动什么别动感情》出演小李美刀一角。 2008年，主演毛卫宁执导的反特剧《身份的证明》。 2009年，在齐星执导的《爱在苍茫大地》中饰演膏药。2010年加盟草根谍战剧《借枪》，饰演杨小菊 。 2011年，同王丽坤领衔主演现代家庭伦理剧《婚巢》。2013年，与沙溢、马苏搭档出演都市轻喜剧《结婚前规则》。2014年，李乃文主演张惠中执导的电视剧版《钢的琴》，与宋丹丹、朱媛媛、朱泳腾、郭达领衔主演都市爱情励志剧《幸福请你等等我》，与张嘉译领衔主演跨年代大戏《爷们儿》，以及与姜武联袂主演的冷幽默谍战戏《虎口拔牙》 。2018年，主演都市情感剧《恋爱先生》。7月，参演电影《我不是药神》上映编辑摘要","李乃文","None","中国","None","宁夏回族自治区","1974年10月8日","爷们儿、虎口拔牙、爱在苍茫大地、借枪、动什么别动感情","2009年首届天津籍赏最受关注奖 2011年第十八届北京大学生电影节最佳电视剧电影男演员 2011年第十一届数学电影百合奖优秀男演员","北京拾捌文化经纪有限公司"
"13","胡静，1978年11月13日生于云南楚雄彝族自治州楚雄市，女演员，毕业于中央戏剧学院96级表演系，1998年出演首部电影《网络时代的爱情》而获得关注，同年参演首部电视剧《大明宫词》；2002年参演电视剧《少年张三丰》和《齐天大圣孙悟空》；2003年主演《孝庄秘史》受到更多关注；2004年主演历史剧《杨门虎将》；2006主演宫廷剧《大清后宫》并获得南方盛典最具人气女演员奖；2007年凭借《康熙秘史》入围北京卫视“金康杯”最佳女主角奖。2008年9月27日与朱兆祥在马来西亚吉隆坡结婚，2009年11月25日产下一名男婴。2010年胡静夫妇在马来西亚吉隆坡苏丹皇宫受封拿汀和拿督。2012年复出参演民国剧《笑红颜》。2015年参演电影《巴黎假期》。2016年参演电视剧《小情人》和大型反腐电视剧《人民的名义》。2017年参演谍战剧《天衣无缝》。编辑摘要","胡静","None","中国","天蝎座","云南楚雄彝族自治州楚雄市","1978年11月13日","少年张三丰，康熙秘史，大清后宫，魔界之龙珠","南方盛典最具人气女演员","北京波诺拾捌文化经纪有限公司"
"14","翁世杰，英文名Sai-Kit Yung，是中国香港的一名演员。参与制作过电影《毛脚媳妇》，并出演过《鬼线人》、《倾城之恋》等数十部电影。编辑摘要","翁世杰","Sai-Kit Yung","None","None","None","None","毛脚媳妇","None","None"
"15","张国柱，1948年出生，台湾演员，儿子张震。1968年大学体育系在读期间，曾拍摄摩托车广告，毕业后投身教学工作。1979年首次拍摄电影《欢颜》，正式踏入娱乐圈。代表作品《爱杀》、《牯岭街少年杀人事件》、《酒徒》等。2017年参演电视剧《漂洋过海来看你》，饰演唐果果的父亲。2017年8月11日，与廖凡、李易峰、万茜、李纯等主演的电影《心理罪》登录全国各大影院。编辑摘要","张国栋","None","中国","None","None","None","白色巨塔》；《欢颜","None","None"
"16","王志飞，1965年3月20日出生于北京，1984年考入中国铁路文工团，1987年毕业于中央戏剧学院，中国内地男演员。拍摄影片有：《人证》、《雨夜惊情》、《和你在一起》、《双枪老太婆》、《突出重围》、《北洋水师》等。2013年首次担任电视剧《冲出迷雾》出品人，并成立王志飞工作室。2013年10月6日，与女演员张定涵在北京举行婚礼。编辑摘要","王志飞","None","中国","双鱼座","北京","1965年3月20日","突出重围》；《暮鼓晨钟》；《爸妈都是老党员》；《向东是大海","None","None"
"17","胡兵，1971年2月14日出生于浙江杭州，中国内地男演员、模特、歌手。1995年与希莉娜依合唱《神雕侠侣》内地版主题曲《归去来》。1999年主演爱情剧《真情告白》。2000年被网络评选为中国内地四大小生。2001年开始主演改编自朱德庸同名漫画的都市爱情喜剧《粉红女郎》、《双响炮》和《摇摆女郎》。2009年主演日本电视剧《遥远的羁绊》。2011年胡兵出国深造后正式宣布回国，成立胡兵工作室，并主演都市励志剧《亲爱的回家》。2012年主演都市爱情剧《姐姐立正向前走》，同年自导自演电影《我的罗马假日》。2013年主演职场女性励志剧《女人的武器》。2014年，与明道、李沁联袂主演都市现代时尚剧《如果我爱你》。2016年参演电视剧《幻城》。2017年参演青春励志偶像剧《游泳先生》。编辑摘要","胡兵","None","中国","水瓶座","杭州","1971年2月14日","None","入围2010年罗马电影节最佳男演员奖","胡兵工作室"
"18","保剑锋（1975年11月3日～）大陆著名演员，1998年毕业于自上海戏剧学院，进入上海话剧艺术中心。现属华谊兄弟时代文化经纪有限公司，中国明星羽毛球队队员。2009年04月25日，保剑锋和何珈好在上海花园饭店举行婚礼。演出过多部影视剧。在《十八岁的天空》、《至尊红颜》、《薛仁贵传奇》、《我是一棵小草》、《大珍珠》、《又见一帘幽梦》等等多部热播电视剧中担任男主角，很受观众喜爱。2012年，保剑锋主演的都市情感剧《贤妻》正式播出，2013年，保剑锋参演由由著名小说《华胥引》改编的电视剧《绝爱之城》，担任男主角容桓。2015年6月15日，保剑锋在微博宣布儿子出生。编辑摘要","保剑锋","Jeff Bao","中国","天蝎座","上海","1975年11月3日","又见一帘幽梦》;《十八岁的天空","BQ2006年 度红人榜-年度优质偶像","华谊兄弟时代文化经纪有限公司"
"19","春夏，1992年12月5日出生于云南省昆明市，中国内地的女演员、模特。2013年，出演个人首部电视剧《我心灿烂》，从而正式进入演艺圈。2014年，主演都市情感轻喜剧《我的博士老公》；同年，出演个人首部电影电影《踏血寻梅》，在片中饰演女主角王佳梅。2015年，凭借电影《踏血寻梅》获得“第19届富川国际奇幻电影节”最佳女主角奖。2016年1月，入围第35届香港电影金像奖最佳女主角。2016年1月18日，凭借电影《踏血寻梅》获得“第22届香港电影评论学会大奖”最佳女演员奖。2016年4月，凭借电影《踏血寻梅》获得“第35届香港电影金像奖”最佳女主角奖。编辑摘要","春夏","None","None","射手座","云南昆明","1992年12月5日","我心灿烂》、《我的博士老公","第35届香港电影金像奖最佳女主角奖 第19届富川国际奇幻电影节最佳女主角奖 第22届香港电影评论学会大奖最佳女主角奖","响巢国际"
"20","陶虹，1972年1月15日出生于江苏无锡，中国影视女演员，原花样游泳运动员，全运会冠军，世界杯集体第5名。1993年，被导演姜文选中在电影《阳光灿烂的日子》中演绎了女二号于北蓓之后，进入影视圈。1997年，她主演的电影《黑眼睛》获叙利亚第10届大马士革国际电影节最佳女主角、中国1998年度华表奖最佳女演员、18届金鸡奖最佳女主角奖。1998年，毕业于中央戏剧学院表演系，进入在中央国家话剧院工作。同年，在《春光灿烂猪八戒》的拍摄中与主演徐峥喜结良缘，结为夫妻。2009年，获第九届中国电视电影百合奖“电视电影十年观众最喜爱的剧情类电视电影女演员奖、第27届飞天奖中国电视剧飞天奖建国60周年突出贡献奖。 2015年9月15日，陶虹获得“全国中青年德艺双馨文艺工作者”荣誉称号。陶虹领衔主演的年代大戏《乱世书香》在湖北、山西两大卫视黄金档热播，开播以来收视攀升，好评如潮。2016年2月29日，陶虹被授予“全国三八红旗手”荣誉称号。编辑摘要","陶虹","None","中国","魔羯座","江苏省无锡市南长区","1972年1月15日","春光灿烂猪八戒","中国电影金鸡奖最佳女主角","None"
